Mês/Ano,Razão Social,CNPJ,Região,Estado,Município,Produto,Produção
11/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,48334880
11/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,5407597
11/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,47275436
11/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,3521561
11/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,23316113
11/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,781906
11/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1030830
10/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,49687156
10/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,4272951
10/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,45810605
10/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,2833595
10/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,24240714
10/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,1186332
