Mês/Ano,Razão Social,CNPJ,Instalação,Região,Estado,Município,Produto,Produção
11/2022,PETROLEO BRASILEIRO S/A,33000167080970,REPAR,SUL,Paraná,ARAUCARIA,Asfalto (kg),125274
11/2022,PETROLEO BRASILEIRO S/A,33000167080970,REPAR,SUL,Paraná,ARAUCARIA,Cimento Asfáltico (kg),15571798
11/2022,PETROLEO BRASILEIRO S/A,33000167080970,REPAR,SUL,Paraná,ARAUCARIA,Coque (kg),15198750
11/2022,PETROLEO BRASILEIRO S/A,33000167080970,REPAR,SUL,Paraná,ARAUCARIA,DMA-MGO (m³),4539
11/2022,PETROLEO BRASILEIRO S/A,33000167080970,REPAR,SUL,Paraná,ARAUCARIA,Gasolina A (m³),217961
11/2022,PETROLEO BRASILEIRO S/A,33000167080970,REPAR,SUL,Paraná,ARAUCARIA,GLP (kg),34520193
11/2022,PETROLEO BRASILEIRO S/A,33000167080970,REPAR,SUL,Paraná,ARAUCARIA,Óleo Combustível (kg),42197305
11/2022,PETROLEO BRASILEIRO S/A,33000167080970,REPAR,SUL,Paraná,ARAUCARIA,Óleo Combustível Marítimo (kg),955091
11/2022,PETROLEO BRASILEIRO S/A,33000167080970,REPAR,SUL,Paraná,ARAUCARIA,Óleo Diesel S10 (m³),74286
11/2022,PETROLEO BRASILEIRO S/A,33000167080970,REPAR,SUL,Paraná,ARAUCARIA,Óleo Diesel S500 (m³),165509
11/2022,PETROLEO BRASILEIRO S/A,33000167080970,REPAR,SUL,Paraná,ARAUCARIA,Querosene de Aviação (m³),14119
11/2022,PETROLEO BRASILEIRO S/A,33000167080970,REPAR,SUL,Paraná,ARAUCARIA,Solventes (m³),3
11/2022,PETROLEO BRASILEIRO S/A,33000167082248,REVAP,SUDESTE,São Paulo,SAO JOSE DOS CAMPOS,Butano (m³),321
11/2022,PETROLEO BRASILEIRO S/A,33000167082248,REVAP,SUDESTE,São Paulo,SAO JOSE DOS CAMPOS,Cimento Asfáltico (kg),32318198
11/2022,PETROLEO BRASILEIRO S/A,33000167082248,REVAP,SUDESTE,São Paulo,SAO JOSE DOS CAMPOS,Coque (kg),48428970
11/2022,PETROLEO BRASILEIRO S/A,33000167082248,REVAP,SUDESTE,São Paulo,SAO JOSE DOS CAMPOS,Gasolina A (m³),264624
11/2022,PETROLEO BRASILEIRO S/A,33000167082248,REVAP,SUDESTE,São Paulo,SAO JOSE DOS CAMPOS,GLP (kg),39887607
11/2022,PETROLEO BRASILEIRO S/A,33000167082248,REVAP,SUDESTE,São Paulo,SAO JOSE DOS CAMPOS,Nafta (m³),155027
11/2022,PETROLEO BRASILEIRO S/A,33000167082248,REVAP,SUDESTE,São Paulo,SAO JOSE DOS CAMPOS,Óleo Combustível (kg),114122311
11/2022,PETROLEO BRASILEIRO S/A,33000167082248,REVAP,SUDESTE,São Paulo,SAO JOSE DOS CAMPOS,Óleo Combustível Marítimo (kg),29932882
11/2022,PETROLEO BRASILEIRO S/A,33000167082248,REVAP,SUDESTE,São Paulo,SAO JOSE DOS CAMPOS,Óleo Diesel S10 (m³),154667
11/2022,PETROLEO BRASILEIRO S/A,33000167082248,REVAP,SUDESTE,São Paulo,SAO JOSE DOS CAMPOS,Óleo Diesel S500 (m³),204297
11/2022,PETROLEO BRASILEIRO S/A,33000167082248,REVAP,SUDESTE,São Paulo,SAO JOSE DOS CAMPOS,Outros Óleos Diesel (m³),1005
11/2022,PETROLEO BRASILEIRO S/A,33000167082248,REVAP,SUDESTE,São Paulo,SAO JOSE DOS CAMPOS,Querosene de Aviação (m³),86640
11/2022,PETROLEO BRASILEIRO S/A,33000167082248,REVAP,SUDESTE,São Paulo,SAO JOSE DOS CAMPOS,Querosene Iluminante (m³),4
11/2022,PETROLEO BRASILEIRO S/A,33000167082248,REVAP,SUDESTE,São Paulo,SAO JOSE DOS CAMPOS,Solventes (m³),253
11/2022,PETROLEO BRASILEIRO S/A,33000167085263,RECAP,SUDESTE,São Paulo,MAUA,Gasolina A (m³),86301
11/2022,PETROLEO BRASILEIRO S/A,33000167085263,RECAP,SUDESTE,São Paulo,MAUA,GLP (kg),14562572
11/2022,PETROLEO BRASILEIRO S/A,33000167085263,RECAP,SUDESTE,São Paulo,MAUA,Nafta (m³),12964
11/2022,PETROLEO BRASILEIRO S/A,33000167085263,RECAP,SUDESTE,São Paulo,MAUA,Óleo Combustível (kg),17516004
11/2022,PETROLEO BRASILEIRO S/A,33000167085263,RECAP,SUDESTE,São Paulo,MAUA,Óleo Combustível Marítimo (kg),15021062
11/2022,PETROLEO BRASILEIRO S/A,33000167085263,RECAP,SUDESTE,São Paulo,MAUA,Óleo Diesel S10 (m³),134255
11/2022,PETROLEO BRASILEIRO S/A,33000167085263,RECAP,SUDESTE,São Paulo,MAUA,Solventes (m³),6094
11/2022,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,DMA-MGO (m³),12969
11/2022,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,GLP (kg),3633271
11/2022,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,Óleo Combustível (kg),43230143
11/2022,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,Óleo Combustível Marítimo (kg),38033590
11/2022,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,Óleo Diesel S500 (m³),4359
11/2022,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,Querosene de Aviação (m³),15259
11/2022,PETROLEO BRASILEIRO S/A,33000167111108,RNEST,NORDESTE,Pernambuco,IPOJUCA,Coque (kg),2329532
11/2022,PETROLEO BRASILEIRO S/A,33000167111108,RNEST,NORDESTE,Pernambuco,IPOJUCA,GLP (kg),126220
11/2022,PETROLEO BRASILEIRO S/A,33000167111108,RNEST,NORDESTE,Pernambuco,IPOJUCA,Nafta (m³),43303
11/2022,PETROLEO BRASILEIRO S/A,33000167111108,RNEST,NORDESTE,Pernambuco,IPOJUCA,Óleo Combustível (kg),111828841
11/2022,PETROLEO BRASILEIRO S/A,33000167111108,RNEST,NORDESTE,Pernambuco,IPOJUCA,Óleo Combustível Marítimo (kg),2209760
11/2022,PETROLEO BRASILEIRO S/A,33000167111108,RNEST,NORDESTE,Pernambuco,IPOJUCA,Óleo Diesel S10 (m³),186217
11/2022,PETROLEO BRASILEIRO S/A,33000167111108,RNEST,NORDESTE,Pernambuco,IPOJUCA,Óleo Diesel S500 (m³),2979
11/2022,REFINARIA DE PETRÓLEOS DE MANGUINHOS S/A,33412081000196,MANGUINHOS,SUDESTE,Rio de Janeiro,RIO DE JANEIRO,Gasolina A (m³),47993
11/2022,REFINARIA DE PETRÓLEOS DE MANGUINHOS S/A,33412081000196,MANGUINHOS,SUDESTE,Rio de Janeiro,RIO DE JANEIRO,Nafta (m³),13572
11/2022,REFINARIA DE PETRÓLEOS DE MANGUINHOS S/A,33412081000196,MANGUINHOS,SUDESTE,Rio de Janeiro,RIO DE JANEIRO,Óleo Diesel S10 (m³),44125
11/2022,REFINARIA DE PETRÓLEOS DE MANGUINHOS S/A,33412081000196,MANGUINHOS,SUDESTE,Rio de Janeiro,RIO DE JANEIRO,Solventes (m³),0
11/2022,REFINARIA DE MANAUS S.A.,40180943000168,REAM,NORTE,Amazonas,MANAUS,Asfalto (kg),417999
11/2022,REFINARIA DE MANAUS S.A.,40180943000168,REAM,NORTE,Amazonas,MANAUS,Cimento Asfáltico (kg),15613710
11/2022,REFINARIA DE MANAUS S.A.,40180943000168,REAM,NORTE,Amazonas,MANAUS,DMA-MGO (m³),17333
11/2022,REFINARIA DE MANAUS S.A.,40180943000168,REAM,NORTE,Amazonas,MANAUS,Gasolina A (m³),37602
11/2022,REFINARIA DE MANAUS S.A.,40180943000168,REAM,NORTE,Amazonas,MANAUS,GLP (kg),893606
11/2022,REFINARIA DE MANAUS S.A.,40180943000168,REAM,NORTE,Amazonas,MANAUS,Nafta (m³),1590
11/2022,REFINARIA DE MANAUS S.A.,40180943000168,REAM,NORTE,Amazonas,MANAUS,Óleo Combustível (kg),4832665
11/2022,REFINARIA DE MANAUS S.A.,40180943000168,REAM,NORTE,Amazonas,MANAUS,Óleo Combustível Marítimo (kg),23772938
11/2022,REFINARIA DE MANAUS S.A.,40180943000168,REAM,NORTE,Amazonas,MANAUS,Óleo Diesel S500 (m³),18349
11/2022,REFINARIA DE MANAUS S.A.,40180943000168,REAM,NORTE,Amazonas,MANAUS,Querosene de Aviação (m³),2189
11/2022,PARANÁ XISTO S.A.,40254927000172,Paraná Xisto S.A.,SUL,Paraná,SAO MATEUS DO SUL,GLP (kg),541084
11/2022,PARANÁ XISTO S.A.,40254927000172,Paraná Xisto S.A.,SUL,Paraná,SAO MATEUS DO SUL,Nafta (m³),2581
11/2022,PARANÁ XISTO S.A.,40254927000172,Paraná Xisto S.A.,SUL,Paraná,SAO MATEUS DO SUL,Óleo Combustível (kg),10999335
11/2022,REFINARIA DE MATARIPE S.A.,41777706000141,REFMAT,NORDESTE,Bahia,SAO FRANCISCO DO CONDE,Cimento Asfáltico (kg),10384129
11/2022,REFINARIA DE MATARIPE S.A.,41777706000141,REFMAT,NORDESTE,Bahia,SAO FRANCISCO DO CONDE,Gasolina A (m³),55849
11/2022,REFINARIA DE MATARIPE S.A.,41777706000141,REFMAT,NORDESTE,Bahia,SAO FRANCISCO DO CONDE,GLP (kg),22079477
11/2022,REFINARIA DE MATARIPE S.A.,41777706000141,REFMAT,NORDESTE,Bahia,SAO FRANCISCO DO CONDE,Lubrificantes (m³),4742
11/2022,REFINARIA DE MATARIPE S.A.,41777706000141,REFMAT,NORDESTE,Bahia,SAO FRANCISCO DO CONDE,Nafta (m³),134078
11/2022,REFINARIA DE MATARIPE S.A.,41777706000141,REFMAT,NORDESTE,Bahia,SAO FRANCISCO DO CONDE,Óleo Combustível (kg),453917444
11/2022,REFINARIA DE MATARIPE S.A.,41777706000141,REFMAT,NORDESTE,Bahia,SAO FRANCISCO DO CONDE,Óleo Diesel S10 (m³),207567
11/2022,REFINARIA DE MATARIPE S.A.,41777706000141,REFMAT,NORDESTE,Bahia,SAO FRANCISCO DO CONDE,Óleo Diesel S500 (m³),109593
